,accuracy,true_positive_rate,true_negative_rate,precision,false_positive_rate,f1_score,time spent(training),time spent(testing),n_internal,n_params
29,0.9180327868852459,0.9308035714285714,0.9135993800852383,0.7890255439924314,0.08640061991476172,0.8540706605222733,7.3357202999999345,1.3725427000000536,50,7852
30,0.9272361230946218,0.9720982142857143,0.9116621464548624,0.7925386715195633,0.08833785354513754,0.8731829573934837,0.9189364000000069,0.2883372999999665,5,112
31,0.9367270635605407,0.9698660714285714,0.9252227818674932,0.8182674199623352,0.07477721813250678,0.8876404494382022,1.2576056999999992,0.372071300000016,10,372
32,0.9341386252516537,0.96875,0.9221232080588919,0.8119738072965388,0.0778767919411081,0.8834605597964377,1.6674444999999878,0.4862034999999878,15,782
33,0.9364394593039977,0.9620535714285714,0.9275474622239442,0.8217349857006673,0.07245253777605579,0.8863753213367609,2.063675400000079,0.5887170999999398,20,1342
34,0.9344262295081968,0.9676339285714286,0.9228981015110422,0.8133208255159474,0.07710189848895777,0.8837920489296636,2.4443559999999707,0.8219871000000012,25,2052
35,0.9329882082254818,0.9642857142857143,0.9221232080588919,0.8112676056338028,0.0778767919411081,0.8811830698623153,2.9945572999999968,0.8206008000000793,30,2912
36,0.9347138337647397,0.9642857142857143,0.9244478884153429,0.8158640226628895,0.0755521115846571,0.8838874680306906,3.454221899999993,0.9489966999999524,35,3922
37,0.9269485188380788,0.9419642857142857,0.9217357613328168,0.8068833652007649,0.07826423866718327,0.8692070030895984,5.57240569999999,1.060889399999951,40,5082
38,0.9252228932988208,0.9386160714285714,0.9205734211545913,0.8040152963671128,0.07942657884540875,0.8661174047373841,6.4250456000000895,1.1770434000000023,45,6392
39,0.9194708081679609,0.9229910714285714,0.9182487407981402,0.7967244701348748,0.08175125920185974,0.8552223371251293,7.388684699999999,1.2648492999999235,50,7852
