,Self CPU %,Self CPU,CPU total %,CPU total,CPU time avg,Self CUDA,Self CUDA %,CUDA total,CUDA time avg,CPU Mem,Self CPU Mem,CUDA Mem,Self CUDA Mem,# of Calls
autograd::engine::evaluate_function: AddmmBackward0,0.30%,91.413ms,2.14%,650.397ms,245.433us,17.338ms,0.05%,1.300s,490.468us,0 b,0 b,7.52 Gb,-42.70 Mb,2650
AddmmBackward0,0.32%,98.645ms,1.62%,491.553ms,185.492us,27.419ms,0.08%,1.251s,472.022us,0 b,0 b,7.56 Gb,0 b,2650
aten::mm,0.89%,269.517ms,0.89%,269.517ms,50.852us,1.125s,3.49%,1.125s,212.293us,0 b,0 b,7.56 Gb,7.56 Gb,5300
autograd::engine::evaluate_function: struct torch::a...,0.38%,116.540ms,1.45%,440.024ms,27.674us,50.809ms,0.16%,446.582ms,28.087us,0 b,0 b,-2.54 Gb,-548.53 Mb,15900
struct torch::autograd::AccumulateGrad,0.49%,149.697ms,1.06%,323.484ms,20.345us,49.606ms,0.15%,395.773ms,24.891us,0 b,0 b,-2.01 Gb,-2.01 Gb,15900
aten::detach,0.00%,74.000us,0.00%,112.000us,9.333us,37.000us,0.00%,54.000us,4.500us,0 b,0 b,0 b,0 b,12
detach,0.00%,38.000us,0.00%,38.000us,3.167us,17.000us,0.00%,17.000us,1.417us,0 b,0 b,0 b,0 b,12
autograd::engine::evaluate_function: TBackward0,0.08%,22.948ms,0.26%,79.108ms,29.852us,8.409ms,0.03%,36.603ms,13.812us,0 b,0 b,0 b,0 b,2650
TBackward0,0.05%,16.231ms,0.18%,56.160ms,21.192us,8.161ms,0.03%,28.194ms,10.639us,0 b,0 b,0 b,0 b,2650
autograd::engine::evaluate_function: ReluBackward0,0.15%,45.024ms,0.52%,159.125ms,40.031us,12.183ms,0.04%,208.401ms,52.428us,0 b,0 b,-10.08 Gb,-20.17 Gb,3975
ReluBackward0,0.14%,41.456ms,0.38%,114.101ms,28.705us,12.136ms,0.04%,196.218ms,49.363us,0 b,0 b,10.09 Gb,0 b,3975
aten::threshold_backward,0.24%,72.645ms,0.24%,72.645ms,18.275us,184.082ms,0.57%,184.082ms,46.310us,0 b,0 b,10.09 Gb,10.09 Gb,3975
autograd::engine::evaluate_function: ViewBackward0,0.03%,10.579ms,0.13%,38.787ms,29.273us,4.198ms,0.01%,14.246ms,10.752us,0 b,0 b,0 b,0 b,1325
ViewBackward0,0.03%,8.371ms,0.09%,28.208ms,21.289us,4.043ms,0.01%,10.048ms,7.583us,0 b,0 b,0 b,0 b,1325
autograd::engine::evaluate_function: CudnnBatchNormB...,0.17%,52.912ms,0.97%,293.595ms,110.791us,8.403ms,0.03%,392.978ms,148.294us,0 b,0 b,-10.07 Gb,-20.12 Gb,2650
CudnnBatchNormBackward0,0.10%,29.674ms,0.79%,240.683ms,90.824us,8.297ms,0.03%,384.575ms,145.123us,0 b,0 b,10.05 Gb,0 b,2650
aten::cudnn_batch_norm_backward,0.58%,175.529ms,0.69%,211.009ms,79.626us,354.935ms,1.10%,376.278ms,141.992us,0 b,0 b,10.05 Gb,3.00 Kb,2650
autograd::engine::evaluate_function: ConvolutionBack...,0.15%,44.510ms,4.77%,1.452s,547.949us,8.662ms,0.03%,1.516s,572.086us,0 b,0 b,-4.98 Gb,-10.05 Gb,2650
ConvolutionBackward0,0.08%,23.062ms,4.63%,1.408s,531.152us,8.482ms,0.03%,1.507s,568.817us,0 b,0 b,5.07 Gb,0 b,2650
aten::convolution_backward,3.96%,1.203s,4.55%,1.384s,522.450us,1.347s,4.18%,1.499s,565.617us,0 b,0 b,5.07 Gb,5.03 Gb,2650
Optimizer.step#AdamW.step,7.69%,2.339s,14.86%,4.520s,3.411ms,306.945ms,0.95%,4.220s,3.185ms,-5.13 Kb,-374.98 Kb,3.93 Mb,-5.09 Gb,1325
aten::detach_,0.00%,74.000us,0.00%,82.000us,6.833us,329.000us,0.00%,353.000us,29.417us,0 b,0 b,0 b,0 b,12
detach_,0.00%,8.000us,0.00%,8.000us,0.667us,24.000us,0.00%,24.000us,2.000us,0 b,0 b,0 b,0 b,12
aten::zeros_like,0.00%,231.000us,0.00%,802.000us,33.417us,112.000us,0.00%,6.563ms,273.458us,0 b,0 b,3.93 Mb,0 b,24
aten::mul_,1.44%,439.467ms,1.44%,439.467ms,9.213us,1.128s,3.50%,1.128s,23.658us,0 b,0 b,0 b,0 b,47700
aten::addcmul_,0.51%,155.718ms,0.51%,155.718ms,9.794us,111.488ms,0.35%,111.488ms,7.012us,0 b,0 b,0 b,0 b,15900
aten::sqrt,0.80%,243.335ms,0.80%,243.335ms,15.304us,442.769ms,1.37%,442.769ms,27.847us,0 b,0 b,2.54 Gb,2.54 Gb,15900
