,accuracy,true_positive_rate,true_negative_rate,precision,false_positive_rate,f1_score,time spent(training),time spent(testing),n_internal,n_params
45,0.9266609145815358,0.9598214285714286,0.915149166989539,0.7970342910101946,0.08485083301046106,0.8708860759493671,1.953013299999995,0.5643300999999923,30,2912
46,0.9321253954558527,0.953125,0.924835335141418,0.8148854961832062,0.07516466485858195,0.8786008230452675,2.1364149999999995,0.5533853000000022,35,3922
47,0.9303997699165948,0.9441964285714286,0.9256102285935683,0.815028901734104,0.07438977140643162,0.8748707342295761,2.779155899999992,0.6462517999999875,40,5082
48,0.9266609145815358,0.9330357142857143,0.9244478884153429,0.8108632395732299,0.0755521115846571,0.8676699532952776,3.083941800000005,0.689541399999996,45,6392
49,0.9223468507333908,0.9308035714285714,0.9194110809763657,0.800383877159309,0.08058891902363426,0.8606811145510836,3.3762351000000024,0.7858333000000073,50,7852
50,0.9232096635030198,0.9810267857142857,0.9031383184812088,0.7785651018600531,0.09686168151879117,0.8681481481481481,0.5981822999999906,0.1903601000000208,5,112
51,0.9280989358642507,0.96875,0.9139868268113135,0.7963302752293578,0.08601317318868655,0.8741188318227594,0.9279769000000044,0.29281199999999785,10,372
52,0.9358642507909117,0.9665178571428571,0.9252227818674932,0.817752596789424,0.07477721813250678,0.8859335038363171,1.075681000000003,0.34316939999999363,15,782
53,0.9338510209951107,0.9642857142857143,0.9232855482371174,0.8135593220338984,0.07671445176288261,0.8825331971399387,1.2875268000000233,0.404068599999988,20,1342
54,0.9289617486338798,0.9631696428571429,0.9170864006199148,0.8012999071494893,0.08291359938008523,0.8748099341104916,1.633253599999989,0.4540401000000145,25,2052
55,0.9327006039689387,0.9598214285714286,0.9232855482371174,0.8128544423440454,0.07671445176288261,0.8802456499488229,1.852166899999986,0.5328766000000087,30,2912
56,0.9393155018694277,0.9631696428571429,0.9310344827586207,0.8290105667627281,0.06896551724137931,0.8910686628807435,2.2416012000000194,0.5839751000000035,35,3922
57,0.9280989358642507,0.9475446428571429,0.9213483146067416,0.8070342205323194,0.07865168539325842,0.8716632443531828,2.7296475999999927,0.6528208000000006,40,5082
58,0.9327006039689387,0.953125,0.9256102285935683,0.8164435946462715,0.07438977140643162,0.8795056642636458,2.946489899999989,0.7015811999999926,45,6392
59,0.9163071613459879,0.921875,0.9143742735373886,0.7889207258834766,0.08562572646261139,0.8502316006176016,3.4164022999999872,0.7644174999999791,50,7852
60,0.9252228932988208,0.9765625,0.9074002324680357,0.7854578096947935,0.09259976753196436,0.8706467661691542,0.6035498999999902,0.19313339999999357,5,112
61,0.9289617486338798,0.9698660714285714,0.9147617202634638,0.797979797979798,0.08523827973653622,0.8755667506297229,0.9050025999999889,0.27441709999999375,10,372
62,0.9321253954558527,0.9754464285714286,0.9170864006199148,0.8033088235294118,0.08291359938008523,0.8810483870967741,1.0928783999999894,0.33771690000000376,15,782
63,0.9315501869427667,0.9642857142857143,0.9201859744285161,0.8074766355140187,0.07981402557148393,0.8789420142421159,1.3362869999999987,0.39399159999999256,20,1342
64,0.9301121656600517,0.9575892857142857,0.9205734211545913,0.8071495766698025,0.07942657884540875,0.8759571209800919,1.6926392000000021,0.48201730000002385,25,2052
65,0.9332758124820247,0.9575892857142857,0.924835335141418,0.8155893536121673,0.07516466485858195,0.8809034907597536,1.8534257000000025,0.502799500000009,30,2912
66,0.9352890422778257,0.9486607142857143,0.9306470360325455,0.826044703595724,0.06935296396745448,0.8831168831168832,2.193927300000013,0.5775753000000066,35,3922
67,0.9257981018119068,0.9397321428571429,0.9209608678806664,0.8049713193116634,0.0790391321193336,0.8671472708547889,2.702990700000015,0.6202445000000125,40,5082
68,0.9252228932988208,0.9274553571428571,0.9244478884153429,0.8099415204678363,0.0755521115846571,0.8647242455775234,2.861867799999999,0.686011499999978,45,6392
69,0.9298245614035088,0.9386160714285714,0.9267725687717939,0.816504854368932,0.07322743122820612,0.87331256490135,3.2953666000000226,0.7528806999999915,50,7852
70,0.9286741443773368,0.9709821428571429,0.9139868268113135,0.7967032967032966,0.08601317318868655,0.8752515090543259,0.611280000000022,0.18869960000000674,5,112
71,0.9272361230946218,0.9732142857142857,0.9112746997287873,0.7920072661217076,0.08872530027121271,0.8733099649474211,0.9310704000000101,0.28079790000001026,10,372
72,0.9312625826862237,0.96875,0.9182487407981402,0.8044485634847081,0.08175125920185974,0.8789873417721519,1.1238570000000152,0.35751229999999623,15,782
73,0.9347138337647397,0.9698660714285714,0.9225106547849671,0.8129092609915809,0.07748934521503294,0.8844783715012723,1.4230309000000148,0.400006100000013,20,1342
74,0.9329882082254818,0.9642857142857143,0.9221232080588919,0.8112676056338028,0.0778767919411081,0.8811830698623153,1.6909489999999892,0.48403410000000235,25,2052
75,0.9329882082254818,0.9553571428571429,0.9252227818674932,0.8160152526215443,0.07477721813250678,0.8802056555269924,1.8310491999999954,0.513674199999997,30,2912
76,0.9335634167385677,0.953125,0.9267725687717939,0.8187919463087249,0.07322743122820612,0.8808664259927798,2.2431947000000036,0.5826925000000074,35,3922
77,0.9306873741731377,0.9508928571428571,0.9236729949631926,0.8122020972354623,0.07632700503680744,0.8760925449871465,2.6484200000000158,0.6406771000000049,40,5082
78,0.9255104975553639,0.9375,0.9213483146067416,0.8053691275167785,0.07865168539325842,0.8664259927797834,3.0128430999999978,0.6750351999999964,45,6392
79,0.9180327868852459,0.9263392857142857,0.915149166989539,0.7912297426120114,0.08485083301046106,0.8534704370179949,3.226642400000003,0.7507863999999813,50,7852
80,0.9257981018119068,0.9799107142857143,0.9070127857419604,0.7853309481216458,0.09298721425803952,0.871896722939424,0.6173687000000143,0.1898770999999897,5,112
81,0.9286741443773368,0.96875,0.9147617202634638,0.7977941176470589,0.08523827973653622,0.8750000000000001,0.9125778000000082,0.28319609999999784,10,372
82,0.9347138337647397,0.9665178571428571,0.9236729949631926,0.8146754468485419,0.07632700503680744,0.8841245533435426,1.1064614999999947,0.3534227000000101,15,782
83,0.9335634167385677,0.9598214285714286,0.9244478884153429,0.8151658767772512,0.0755521115846571,0.8815991799077396,1.413514599999985,0.3687607999999898,20,1342
