,Self CPU %,Self CPU,CPU total %,CPU total,CPU time avg,Self CUDA,Self CUDA %,CUDA total,CUDA time avg,CPU Mem,Self CPU Mem,CUDA Mem,Self CUDA Mem,# of Calls
aten::to,0.35%,68.397ms,6.38%,1.247s,55.388us,61.284ms,0.30%,1.775s,78.842us,62.11 Kb,0 b,1.18 Gb,0 b,22512
aten::_to_copy,0.92%,180.371ms,6.03%,1.179s,56.523us,90.127ms,0.44%,1.714s,82.187us,62.11 Kb,1.12 Kb,1.18 Gb,1.00 Kb,20850
aten::empty_strided,0.23%,44.033ms,0.23%,44.033ms,1.984us,143.286ms,0.69%,143.286ms,6.455us,60.99 Kb,60.99 Kb,1.19 Gb,1.19 Gb,22199
aten::copy_,4.91%,959.133ms,4.91%,959.133ms,46.002us,1.482s,7.19%,1.482s,71.084us,0 b,0 b,0 b,0 b,20850
aten::conv1d,0.08%,16.179ms,33.55%,6.554s,1.986ms,8.994ms,0.04%,6.548s,1.984ms,0 b,0 b,12.53 Gb,0 b,3300
aten::convolution,0.21%,40.428ms,33.47%,6.537s,1.981ms,8.946ms,0.04%,6.539s,1.981ms,0 b,0 b,12.53 Gb,0 b,3300
aten::_convolution,0.51%,99.030ms,33.26%,6.497s,1.969ms,52.091ms,0.25%,6.530s,1.979ms,0 b,0 b,12.53 Gb,0 b,3300
aten::unsqueeze,0.24%,46.696ms,0.27%,53.427ms,3.672us,41.078ms,0.20%,59.903ms,4.117us,0 b,0 b,0 b,0 b,14550
aten::cudnn_convolution,32.05%,6.261s,32.09%,6.269s,1.900ms,6.189s,30.01%,6.195s,1.877ms,0 b,0 b,12.53 Gb,6.41 Gb,3300
aten::reshape,0.16%,30.322ms,0.21%,40.753ms,8.811us,12.404ms,0.06%,18.668ms,4.036us,0 b,0 b,0 b,0 b,4625
aten::_reshape_alias,0.05%,10.431ms,0.05%,10.431ms,2.255us,6.264ms,0.03%,6.264ms,1.354us,0 b,0 b,0 b,0 b,4625
aten::add_,2.36%,461.869ms,3.53%,689.760ms,9.696us,629.913ms,3.05%,896.051ms,12.596us,8.99 Kb,-53.12 Kb,0 b,0 b,71138
aten::squeeze,0.13%,26.222ms,0.15%,29.880ms,4.107us,19.707ms,0.10%,29.397ms,4.041us,0 b,0 b,0 b,0 b,7275
aten::batch_norm,0.07%,14.320ms,2.09%,407.613ms,123.519us,8.976ms,0.04%,531.432ms,161.040us,0 b,0 b,12.52 Gb,0 b,3300
aten::_batch_norm_impl_index,0.12%,24.255ms,2.01%,393.293ms,119.180us,9.576ms,0.05%,522.456ms,158.320us,0 b,0 b,12.52 Gb,0 b,3300
aten::cudnn_batch_norm,1.68%,328.771ms,1.89%,369.038ms,111.830us,478.216ms,2.32%,512.880ms,155.418us,0 b,0 b,12.52 Gb,38.00 Kb,3300
aten::empty_like,0.10%,18.904ms,0.18%,35.783ms,7.697us,12.632ms,0.06%,18.966ms,4.080us,0 b,0 b,12.52 Gb,512 b,4649
aten::relu,0.21%,41.116ms,0.49%,95.958ms,19.385us,13.684ms,0.07%,182.742ms,36.918us,0 b,0 b,12.56 Gb,0 b,4950
aten::clamp_min,0.28%,54.842ms,0.28%,54.842ms,11.079us,169.058ms,0.82%,169.058ms,34.153us,0 b,0 b,12.56 Gb,12.56 Gb,4950
aten::linear,0.14%,26.798ms,1.44%,280.885ms,85.117us,13.669ms,0.07%,192.100ms,58.212us,0 b,0 b,53.17 Mb,0 b,3300
aten::t,0.36%,70.305ms,0.66%,128.475ms,9.243us,90.296ms,0.44%,147.341ms,10.600us,0 b,0 b,0 b,0 b,13900
aten::transpose,0.27%,52.580ms,0.30%,58.170ms,4.185us,38.006ms,0.18%,56.984ms,4.100us,0 b,0 b,0 b,0 b,13900
aten::addmm,1.03%,201.399ms,1.10%,215.187ms,65.208us,142.559ms,0.69%,156.052ms,47.288us,0 b,0 b,53.17 Mb,53.17 Mb,3300
aten::expand,0.12%,22.870ms,0.13%,24.924ms,5.389us,12.823ms,0.06%,19.086ms,4.127us,0 b,0 b,0 b,0 b,4625
aten::cross_entropy_loss,0.21%,40.508ms,1.10%,213.985ms,129.688us,24.286ms,0.12%,96.414ms,58.433us,0 b,-496 b,2.24 Mb,-3.40 Mb,1650
aten::log_softmax,0.08%,14.914ms,0.20%,39.272ms,23.801us,6.617ms,0.03%,14.130ms,8.564us,0 b,0 b,1.61 Mb,0 b,1650
aten::_log_softmax,0.12%,24.237ms,0.12%,24.237ms,14.689us,5.236ms,0.03%,5.236ms,3.173us,0 b,0 b,1.61 Mb,1.61 Mb,1650
aten::mul,0.37%,71.488ms,0.37%,71.488ms,24.030us,253.396ms,1.23%,253.396ms,85.175us,0 b,0 b,2.91 Mb,2.91 Mb,2975
aten::sum,0.84%,164.215ms,1.03%,201.021ms,23.375us,148.007ms,0.72%,175.332ms,20.387us,0 b,0 b,4.20 Mb,2.59 Mb,8600
aten::neg,0.18%,34.373ms,0.18%,34.373ms,11.554us,14.933ms,0.07%,14.933ms,5.019us,0 b,0 b,1.45 Mb,1.45 Mb,2975
aten::div,0.86%,167.595ms,0.86%,167.595ms,8.879us,89.657ms,0.43%,89.657ms,4.750us,496 b,496 b,2.55 Gb,2.55 Gb,18875
aten::add,0.01%,1.789ms,0.01%,1.789ms,35.780us,176.000us,0.00%,176.000us,3.520us,0 b,0 b,25.00 Kb,25.00 Kb,50
