,accuracy,true_positive_rate,true_negative_rate,precision,false_positive_rate,f1_score,time spent(training),n_internal,n_params
22,0.9197101449275362,0.9611594202898551,0.8782608695652174,0.8875802997858673,0.12173913043478261,0.9229056498747567,1.0981039999999993,15,782
23,0.9172463768115942,0.9585507246376812,0.8759420289855072,0.8854082998661312,0.12405797101449276,0.9205288796102993,1.3458421999999999,20,1342
24,0.9276811594202898,0.9626086956521739,0.8927536231884058,0.8997561636412896,0.1072463768115942,0.9301218316762359,1.7069807000000026,25,2052
25,0.9295652173913044,0.9631884057971014,0.8959420289855072,0.9024986420423683,0.10405797101449275,0.9318564217610769,1.780520100000004,30,2912
26,0.9321739130434783,0.9628985507246377,0.9014492753623189,0.9071545603495358,0.09855072463768116,0.9341957255343083,2.0889719999999983,35,3922
27,0.938695652173913,0.9643478260869566,0.9130434782608695,0.9172870140612076,0.08695652173913043,0.9402289105553201,2.4163658000000083,40,5082
28,0.9353623188405797,0.9530434782608695,0.9176811594202898,0.9204927211646137,0.08231884057971015,0.9364853318142978,2.742348299999989,45,6392
29,0.936231884057971,0.9544927536231884,0.9179710144927536,0.9208612975391499,0.08202898550724638,0.9373754625676061,3.097142600000012,50,7852
30,0.908695652173913,0.9617391304347827,0.8556521739130435,0.8694968553459119,0.1443478260869565,0.9132947976878613,0.5513480999999985,5,112
31,0.9188405797101449,0.9681159420289855,0.8695652173913043,0.8812664907651715,0.13043478260869565,0.9226519337016575,0.8767289999999974,10,372
32,0.9156521739130434,0.9643478260869566,0.8669565217391304,0.8787638668779715,0.13304347826086957,0.9195688225538972,1.158961099999999,15,782
33,0.9218840579710145,0.9663768115942029,0.8773913043478261,0.8874101676869843,0.12260869565217392,0.9252115998334952,1.3242158000000046,20,1342
34,0.9295652173913044,0.9660869565217391,0.8930434782608696,0.9003241491085899,0.10695652173913044,0.9320469798657718,1.5564616999999998,25,2052
35,0.9295652173913044,0.9640579710144928,0.8950724637681159,0.9018438177874186,0.10492753623188406,0.9319137013168954,1.7325924000000015,30,2912
36,0.9305797101449276,0.9585507246376812,0.9026086956521739,0.9077683228108702,0.09739130434782609,0.932468631044692,2.162563199999994,35,3922
37,0.9379710144927537,0.9640579710144928,0.9118840579710145,0.9162534435261708,0.08811594202898551,0.93954802259887,2.403417399999995,40,5082
38,0.9410144927536231,0.9594202898550724,0.922608695652174,0.925356443947442,0.07739130434782608,0.9420805464636404,2.7161708000000004,45,6392
39,0.938695652173913,0.9556521739130435,0.9217391304347826,0.9243061396131202,0.0782608695652174,0.9397178281316803,3.0513284000000027,50,7852
40,0.9065217391304348,0.957391304347826,0.8556521739130435,0.8689818468823993,0.1443478260869565,0.9110467521721141,0.5823496999999946,5,112
41,0.9159420289855073,0.9628985507246377,0.8689855072463768,0.8802331743508214,0.1310144927536232,0.9197120708748615,0.9050238000000093,10,372
42,0.9155072463768116,0.9626086956521739,0.8684057971014493,0.8797350993377483,0.13159420289855073,0.9193079584775086,1.137776500000001,15,782
